13:31,s303,1,1,-0.6,1,37.99999,11,1,,,,
13:32,s303,2,2,0,1,44.99998,4,1,,,,
13:33,s303,1,3,-0.6,2,43.99998,16,1,,,,
13:35,s303,2,4,0.6,1,20.00001,0,0,,,,
13:36,s303,1,5,0.6,1,20.00001,0,0,,,,
13:37,s303,2,6,0.2,1,35.99999,8.000001,1,,,,
13:37,s303,1,7,-0.6,3,30,0,0,,,,
13:39,s303,2,8,-0.6,1,30,0,0,,,,
13:39,s303,1,9,0.2,1,30,0,0,,,,
13:41,s303,2,10,0.2,2,42.99999,6,1,35.00002,100,0,0
13:41,s303,1,11,-0.2,1,45.99998,23,1,,,,
13:42,s303,2,12,0.4,1,18.00001,0,0,,,,
13:43,s303,1,13,0.2,2,40.99999,0,0,,,,
13:43,s303,2,14,0.6,2,35.99999,0,0,,,,
13:48,s303,1,15,0,1,42.99999,9.000001,1,,,,
13:48,s303,2,16,-0.2,1,41.99999,7,1,,,,
13:49,s303,1,17,0.2,3,42.99999,9.000001,1,,,,
13:50,s303,2,18,-0.2,2,20.00001,0,0,,,,
13:50,s303,1,19,-0.4,1,39.99999,16,1,,,,
13:51,s303,2,20,-0.2,3,41.99999,16,1,38.00001,100,0,0
13:52,s303,1,21,-0.6,4,42.99999,5,1,,,,
13:53,s303,2,22,0,2,15.00001,0,0,,,,
13:53,s303,1,23,-0.2,2,34,0,0,,,,
13:54,s303,2,24,0,3,35.99999,0,0,,,,
13:54,s303,1,25,0.2,4,38.99999,0,0,,,,
13:55,s303,2,26,0.6,3,40.99999,0,0,,,,
13:56,s303,1,27,0.2,5,39.99999,0,0,,,,
13:56,s303,2,28,0.2,3,15.00001,0,0,,,,
14:2,s303,1,29,-0.4,2,41.99999,7,1,,,,
14:3,s303,2,30,-0.4,1,41.99999,6,1,38.00001,100,0,0
14:3,s303,1,31,-0.6,5,41.99999,7,1,,,,
14:4,s303,2,32,-0.4,2,40.99999,6,1,,,,
14:5,s303,1,33,0,2,39.99999,4,1,,,,
14:5,s303,2,34,-0.4,3,23.00001,0,0,,,,
14:6,s303,1,35,0.4,1,38.99999,0,0,,,,
14:7,s303,2,36,-0.4,4,16.00001,0,0,,,,
14:7,s303,1,37,-0.4,3,36.99999,0,0,,,,
14:8,s303,2,38,-0.6,2,14.00001,0,0,,,,
14:9,s303,1,39,0.4,2,30,0,0,,,,
14:10,s303,2,40,0.2,4,34,0,0,38.00001,100,0,0
14:11,s303,1,41,-0.2,3,37.99999,0,1,,,,
14:12,s303,2,42,-0.6,3,38.99999,5,1,,,,
14:17,s303,1,43,0.6,2,40.99999,0,0,,,,
14:17,s303,2,44,0.4,2,24.00001,0,0,,,,
14:18,s303,1,45,0.4,3,39.99999,0,0,,,,
14:19,s303,2,46,0.6,4,38.99999,0,0,,,,
14:19,s303,1,47,0.6,3,36.99999,0,0,,,,
14:20,s303,2,48,0.4,3,43.99998,9.000001,1,,,,
14:21,s303,1,49,0,3,45.99998,10,1,,,,
14:22,s303,2,50,-0.2,4,37.99999,6,1,37.00001,100,0,0
14:22,s303,1,51,0.6,4,23.00001,0,0,,,,
14:23,s303,2,52,-0.2,5,30,5,1,,,,
14:24,s303,1,53,0.4,4,42.99999,5,1,,,,
14:24,s303,2,54,-0.4,5,21.00001,0,0,,,,
14:25,s303,1,55,0.4,5,43.99998,0,0,,,,
14:25,s303,2,56,0,4,30,0,0,,,,
14:30,s303,1,57,-0.4,4,37.99999,0,0,,,,
14:31,s303,2,58,0.4,4,22.00001,0,0,,,,
14:32,s303,1,59,0,4,40.99999,0,1,,,,
14:33,s303,2,60,0.2,5,37.99999,0,0,38.00001,100,0,0
14:33,s303,1,61,-0.2,4,43.99998,10,1,,,,
14:34,s303,2,62,0.6,5,42.99999,0,0,,,,
14:34,s303,1,63,-0.4,5,38.99999,0,1,,,,
14:35,s303,2,64,-0.6,4,20.00001,0,0,,,,
14:36,s303,1,65,0.6,5,39.99999,0,0,,,,
14:36,s303,2,66,-0.6,5,35,0,0,,,,
14:37,s303,1,67,0,5,35,0,0,,,,
14:37,s303,2,68,0,5,20.00001,0,0,,,,
14:38,s303,1,69,-0.2,5,42.99999,5,1,,,,
14:39,s303,2,70,0.4,5,25,0,0,40.00001,100,0,0
