13:32,s304,1,1,-0.6,1,36.99999,27.99999,1,
13:32,s304,2,2,0,1,49.99998,24,1,
13:33,s304,1,3,-0.6,2,35,24,0,
13:33,s304,2,4,0.6,1,35,21,0,
13:34,s304,1,5,0.6,1,33,13,0,
13:34,s304,2,6,0.2,1,25,7,0,
13:35,s304,1,7,-0.6,3,25,16,1,
13:35,s304,2,8,-0.6,1,26,9.000001,0,
13:36,s304,1,9,0.2,1,17.00001,13,1,
13:37,s304,2,10,0.2,2,56.99997,20,1,78.99997,95.00003,23.00003,14.00003,
13:38,s304,1,11,-0.2,1,34,10,1,
13:38,s304,2,12,0.4,1,24.00001,12,0,
13:39,s304,1,13,0.2,2,21.00001,11,0,
13:39,s304,2,14,0.6,2,11.00001,4,0,
13:44,s304,1,15,0,1,43.99998,18,1,
13:44,s304,2,16,-0.2,1,22.00001,20,1,
13:45,s304,1,17,0.2,3,36.99999,15,1,
13:45,s304,2,18,-0.2,2,30,6,1,
13:46,s304,1,19,-0.4,1,17.00001,6.999999,1,
13:46,s304,2,20,-0.2,3,26,10,1,81.99998,96.00003,49,22.00003,
13:47,s304,1,21,-0.6,4,35.99999,12,1,
13:48,s304,2,22,0,2,26,16,1,
13:48,s304,1,23,-0.2,2,35.99999,11,1,
13:49,s304,2,24,0,3,18.00001,3,0,
13:49,s304,1,25,0.2,4,18.00001,11,0,
13:50,s304,2,26,0.6,3,14.00001,9.000001,0,
13:50,s304,1,27,0.2,5,52.99998,23,0,
13:51,s304,2,28,0.2,3,37.99999,8.000001,1,
13:55,s304,1,29,-0.4,2,40.99999,20,1,
13:56,s304,2,30,-0.4,1,44.99998,25,1,89.00001,91.00002,15.00003,8.000026,
13:56,s304,1,31,-0.6,5,36.99999,12,1,
13:57,s304,2,32,-0.4,2,27,7,1,
13:57,s304,1,33,0,2,15.00001,12,1,
13:58,s304,2,34,-0.4,3,18.00001,5,1,
13:58,s304,1,35,0.4,1,11.00001,3,0,
13:59,s304,2,36,-0.4,4,44.99998,13,1,
13:59,s304,1,37,-0.4,3,10.00001,12,1,
14:0,s304,2,38,-0.6,2,10.00001,24,0,
14:0,s304,1,39,0.4,2,23.00001,13,1,
14:1,s304,2,40,0.2,4,22.00001,13,1,90.00001,96.00003,11.00003,6.000025,
14:1,s304,1,41,-0.2,3,39.99999,19,1,
14:2,s304,2,42,-0.6,3,17.00001,12,1,
14:6,s304,1,43,0.6,2,44.99998,26,0,
14:7,s304,2,44,0.4,2,39.99999,14,1,
14:7,s304,1,45,0.4,3,35.99999,9.000001,1,
14:8,s304,2,46,0.6,4,18.00001,9.000001,0,
14:8,s304,1,47,0.6,3,21.00001,11,0,
14:9,s304,2,48,0.4,3,21.00001,11,1,
14:9,s304,1,49,0,3,15.00001,12,1,
14:10,s304,2,50,-0.2,4,23.00001,12,1,96.00003,92.00002,3.000025,5.000025,
14:11,s304,1,51,0.6,4,34,15,0,
14:11,s304,2,52,-0.2,5,26,10,1,
14:12,s304,1,53,0.4,4,20.00001,9.000001,1,
14:12,s304,2,54,-0.4,5,19.00001,12,1,
14:13,s304,1,55,0.4,5,26,9.000001,1,
14:13,s304,2,56,0,4,34,11,1,
14:18,s304,1,57,-0.4,4,50.99998,32.99999,1,
14:19,s304,2,58,0.4,4,45.99998,29.99999,0,
14:19,s304,1,59,0,4,25,10,0,
14:20,s304,2,60,0.2,5,21.00001,10,0,85.99999,99,16.00003,8.000026,
14:20,s304,1,61,-0.2,4,18.00001,26,1,
14:21,s304,2,62,0.6,5,11.00001,14,0,
14:21,s304,1,63,-0.4,5,38.99999,10,1,
14:22,s304,2,64,-0.6,4,38.99999,11,1,
14:22,s304,1,65,0.6,5,27,13,0,
14:23,s304,2,66,-0.6,5,23.00001,12,1,
14:23,s304,1,67,0,5,20.00001,11,0,
14:24,s304,2,68,0,5,22.00001,14,1,
14:24,s304,1,69,-0.2,5,18.00001,12,1,
14:25,s304,2,70,0.4,5,22.00001,11,1,91.00002,98.00004,3.000025,12.00003,
